Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-100.775,-91.957,31.744,47.7033
1,-33.829,-65.07,21.8508,47.4986
2,-43.375,-39.343,32.3504,37.2024
3,-23.643,-33.78,6.55629,69.1728
4,-34.415,-21.265,22.2051,25.0131
5,-12.119,-31.424,7.50072,41.6449
6,-21.01,-17.475,21.9781,31.1403
7,-19.547,-29.194,6.13062,55.9781
8,-21.289,-40.127,12.8227,51.9687
9,-27.032,-20.634,12.2072,36.4147
10,-19.751,-35.019,11.4804,54.4788
11,-8.016,-27.318,11.2734,58.6199
12,-9.581,-15.56,8.11133,32.6948
13,-8.259,-26.563,6.65056,46.3832
14,-8.802,-19.399,2.88216,40.249
15,-10.074,-27.618,9.72661,58.828
16,-4.357,-28.405,5.45717,63.9671
17,-16.523,-24.324,8.89202,62.4097
18,-11.19,-9.592,13.3442,14.9991
19,-9.527,-19.927,8.59161,43.4093
20,-15.252,-26.978,8.65762,55.3307
21,-8.953,-7.919,9.79289,12.9585
22,-6.13,-9.612,5.76628,12.3489
23,-4.304,-10.786,4.22745,17.4236
24,-9.892,-24.152,7.65954,41.1321
25,-10.225,-16.195,12.4967,53.7067
26,-9.734,-13.493,9.54437,21.5358
27,-9.012,-12.895,10.9931,30.7049
28,-9.59,-9.056,3.20598,13.9387
29,-3.304,-5.696,6.9337,9.14702
30,-8.585,-33.123,9.91592,79.1297
31,-8.162,-30.888,7.9078,69.2584
32,-6.567,-24.02,2.5698,55.5185
33,-9.387,-14.386,3.43293,42.5241
34,-5.464,-41.728,5.67455,85.3466
35,-9.013,-21.886,8.52086,70.69
36,-7.524,-40.788,6.69618,92.0196
37,-9.017,-7.492,9.02834,12.6583
38,-6.115,-4.853,4.64661,4.57027
39,-12.21,-13.943,7.55667,33.7357
40,-9.227,-25.264,13.5058,62.0545
41,-1.611,-33.299,3.9787,83.207
42,-3.303,-8.943,5.2471,11.5132
43,-2.065,-10.348,4.11421,32.1857
44,-9.261,-24.535,6.7805,53.5587
45,-3.966,-42.993,6.08099,81.8672
46,-2.403,-4.206,4.83486,3.55263
47,-9.091,-15.061,7.02318,48.9149
48,-1.735,-12.1,3.43168,45.6084
49,-7.805,-5.66,8.24326,9.00525
50,-5.615,-23.703,5.83046,67.6642
51,-7.114,-16.63,4.08421,58.8939
52,-4.577,-8.598,5.91645,23.2101
53,-5.802,-22.748,6.22798,62.5093
54,-6.352,-5.696,6.0882,15.1552
55,-9.316,-7.483,8.04078,10.5013
56,-11.288,-17.909,13.1824,57.6482
57,-10.117,-35.079,9.29332,70.5854
58,-12.8,-31.871,8.09489,61.6483
59,-18.474,-6.925,14.7409,12.0753
60,-9.872,-8.562,7.15641,17.3648
61,-6.238,-7.025,7.65126,10.0796
62,-11.747,-10.922,13.0204,37.6257
63,-8.963,-22.984,16.4509,63.6019
64,-10.023,-4.22,6.37813,5.74039
65,-6.683,-24.778,9.83499,71.6467
66,-9.566,-28.516,8.36902,55.7923
67,-30.525,-11.686,27.4257,51.0706
68,-29.692,-22.719,33.3931,62.1246
69,-6.883,-5.004,7.66323,10.1378
70,-7.499,-5.901,4.61643,20.5512
71,-14.006,-4.797,6.52004,5.69001
72,-11.786,-26.282,15.1943,67.2434
73,-9.572,-28.79,12.0674,72.4504
74,-12.782,-12.412,9.49569,26.2519
75,-9.828,-29.4,11.9889,67.203
76,-15.917,-41.313,13.6346,96.1155
77,-12.253,-14.518,11.1067,31.1917
78,-6.904,-13.222,4.98389,30.116
79,-14.068,-13.082,7.72383,42.8823
80,-9.86,-6.916,12.4649,10.4604
81,-8.904,-8.28,11.2793,16.35
82,-9.669,-15.521,9.14142,35.4967
83,-15.081,-19.162,13.5544,60.7964
84,-10.899,-9.547,8.10171,26.5753
85,-11.206,-35.031,7.43637,84.288
86,-6.312,-33.394,12.1635,77.732
87,-8.908,-28.276,4.19265,76.2984
88,-8.429,-18.839,7.19533,52.4932
89,-15.726,-24.428,9.96374,52.6406
90,-10.164,-34.31,8.67319,82.1988
91,-8.185,-19.69,7.34699,52.2292
92,-7.775,-15.012,7.23917,43.5421
93,-10.098,-7.212,11.3516,22.601
94,-12.513,-50.662,6.07475,87.1311
95,-13.244,-12.453,6.1723,26.0266
96,-2.604,-11.23,4.20473,41.9947
97,-4.977,-23.433,6.7005,35.8721
98,-6.977,-12.991,7.81962,32.9506
99,-6.081,-8.29,4.91195,24.5859
