Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-165.01,-189.704,60.2446,104.942
1,-81.734,-128.719,52.146,80.3309
2,-57.589,-91.358,34.2233,61.9447
3,-49.373,-76.177,40.8213,49.9101
4,-42.199,-64.968,21.1448,44.1039
5,-37.492,-55.426,18.857,35.8637
6,-32.867,-49.276,16.6592,30.3555
7,-30.078,-46.923,12.8294,28.8927
8,-26.87,-43.709,10.0193,25.8396
9,-24.96,-40.868,8.74453,25.967
10,-22.748,-37.569,7.78763,22.5034
11,-20.473,-35.804,5.76789,20.4661
12,-18.699,-35.887,4.98631,19.839
13,-17.242,-33.61,4.15026,18.1219
14,-15.724,-32.658,3.58674,16.9457
15,-14.775,-31.803,3.48346,16.9439
16,-13.418,-30.547,2.95229,16.3149
17,-12.683,-29.416,2.7532,13.9584
18,-11.912,-29.206,2.63689,14.5449
19,-11.312,-28.821,2.37493,15.122
