Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-2898.44,-3288.85,847.616,852.438
1,-1618.38,-1312.89,283.702,381.165
2,-1142.16,-1451.33,460.236,954.787
3,-410.45,-1246.22,255.328,935.995
4,-413.28,-951.58,183.101,1197.26
5,-1123.64,-868.23,1808.53,1549.69
6,-721.31,-294.42,857.995,428.168
7,-295.16,-276.25,168.477,237.352
8,-273.57,-170.83,177.984,96.9669
9,-245.45,-147.35,169.151,32.1051
10,-165.77,-141.24,49.7699,37.8949
11,-153.93,-139.89,43.9114,42.0413
12,-169.22,-141.85,40.8907,39.6478
13,-186.31,-149.84,58.438,28.0057
14,-181.88,-147.47,71.1769,30.7724
15,-164.21,-153.22,20.4259,20.3919
16,-157.69,-157.99,32.8196,25.684
17,-156.39,-147.15,6.53181,16.2054
18,-172.95,-153.7,26.253,9.90613
19,-150.09,-157.86,14.7512,14.0079
20,-158.77,-156.15,9.71914,9.43706
21,-143.43,-157.52,22.5394,6.23849
22,-155.37,-159.79,6.46303,7.79574
23,-153.65,-158.08,2.99621,5.52072
24,-157.62,-158.02,3.57257,5.63714
25,-152.44,-158.4,2.47541,6.0252
26,-157.11,-158.75,4.9582,5.054
27,-156.06,-156.57,3.96148,6.25591
28,-160.51,-162.55,4.88141,14.8367
29,-153.74,-158.68,3.92253,6.14452
30,-165.67,-158.41,20.4786,6.55373
31,-156.98,-154.85,6.07858,15.1453
32,-154.76,-159.59,14.7382,7.43469
33,-152.93,-156.28,2.72384,4.65817
34,-167.75,-158.31,20.8023,11.8643
35,-157.98,-150.32,5.32002,12.8227
36,-149.82,-155.97,15.1367,10.2005
37,-152.34,-154.15,17.768,5.8799
38,-154.9,-152.86,6.12743,13.6197
39,-148.96,-150.02,15.2016,12.4259
